2020-09-23 19:56:16,804 - 2 - INFO - 页面"摩力极速下载-摩力极速免费版-QQ下载站"跳转正常,该类元素共165个，当前第1个
2020-09-23 19:56:22,957 - 2 - INFO - 页面"路由IP自动更换者下载-路由IP自动更换者免费版-QQ下载站"跳转正常,该类元素共165个，当前第2个
2020-09-23 19:56:29,113 - 2 - INFO - 页面"极速酷6下载-极速酷6免费版-QQ下载站"跳转正常,该类元素共165个，当前第3个
2020-09-23 19:56:35,235 - 2 - INFO - 页面"购物兔浏览器下载-购物兔浏览器免费版-QQ下载站"跳转正常,该类元素共165个，当前第4个
2020-09-23 19:56:57,910 - 2 - INFO - 页面"方配网站服务器下载-方配网站服务器免费版-QQ下载站"跳转正常,该类元素共165个，当前第5个
2020-09-23 19:57:04,039 - 2 - INFO - 页面"端口扫描工具下载-端口扫描工具绿色版-QQ下载站"跳转正常,该类元素共165个，当前第6个
2020-09-23 19:57:10,182 - 2 - INFO - 页面"思域模拟器最新版下载_思域模拟器安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第7个
2020-09-23 19:57:16,343 - 2 - INFO - 页面"潜水模拟最新版下载_潜水模拟安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第8个
2020-09-23 19:57:22,489 - 2 - INFO - 页面"汽车模拟器城市驾驶最新版下载_汽车模拟器城市驾驶安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第9个
2020-09-23 19:57:28,622 - 2 - INFO - 页面"暖暖的新家最新版下载_暖暖的新家安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第10个
2020-09-23 19:57:34,767 - 2 - INFO - 页面"豆瓣fm桌面版下载-豆瓣fm桌面版免费版-QQ下载站"跳转正常,该类元素共165个，当前第11个
2020-09-23 19:58:18,713 - 2 - INFO - 页面"明星达人养成记最新版下载_明星达人养成记安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第12个
2020-09-23 19:58:24,871 - 2 - INFO - 页面"两夫妻模拟器最新版下载_两夫妻模拟器安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第13个
2020-09-23 19:58:31,034 - 2 - INFO - 页面"电信网通转换器下载-电信网通转换器免费版-QQ下载站"跳转正常,该类元素共165个，当前第14个
2020-09-23 19:58:37,189 - 2 - INFO - 页面"老鹰比赛模拟器最新版下载_老鹰比赛模拟器安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第15个
2020-09-23 19:58:43,333 - 2 - INFO - 页面"暴雪下载器下载-暴雪下载器官方版-QQ下载站"跳转正常,该类元素共165个，当前第16个
2020-09-23 19:58:49,501 - 2 - INFO - 页面"来把大宝剑最新版下载_来把大宝剑安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第17个
2020-09-23 19:58:55,629 - 2 - INFO - 页面"空闲塔矿工最新版下载_空闲塔矿工安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第18个
2020-09-23 19:59:01,769 - 2 - INFO - 页面"狗爷的说唱帝国最新版下载_狗爷的说唱帝国安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第19个
2020-09-23 19:59:07,935 - 2 - INFO - 页面"疯狂火车头最新版下载_疯狂火车头安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第20个
